,sentiment,target,kfold
0, gerçekten güzel fil akilarinizdan kolay kolay çık izle yapım kesinlikle izle,positive,0
1, izle sik iğrenç berbat film,negative,0
2, hayat izle kötü film adam hapis gir çek köy git başka birey bekle,negative,0
3, klasik korku film sevgili doğa gezi çek bas psikopat taraf türlü türlü is gel atina ol senaryo yer çek film benzeri yer izle film,negative,0
4, jane marco sevgili film begeniyordumyilar gör film olmamaliydisaçma film türkiye çek he vay be,negative,0
5, müzik in sinema buluş harika film dakika sik gözük çorap sökük gel,positive,0
6, liste güzel kişi öp anla gülkisimlari güzelditabi insan yap para lazimçok güzel film yer komik yer yer duygusalmorgan jack amcalarimizda süper oynamisdaha başka iste,positive,0
7, hala izle şimdi aksiyon film kaçirmislardir,positive,0
8, aman berbat berbat,negative,0
9, film komik filmkorku sahne basarisizama makyaj falan güzeltaylan birader film yabancı damat çek anlamadimçünkü film performans yıka dizi süper oyna,negative,0
10, merkez izle özel film yer birey dol,positive,0
11, kitap oku bölüm merak etik kişi caspianbu çocuk davranislari gerçekten büyüledikitabini okuyan bil tabi küçük bastıbacak unut cani SMILEYPOSITIVE,positive,0
12, rezalet film film senaryo ekicilik heyecan verici mi kot ol sahne gelecek mi merak getir insani acikcasi kot film ol,negative,0
13, arkadaş seyret film fragman ortalama mi ver el insaf el insaf,negative,0
14, vasat,negative,0
15, film izle insan beyin kir ol gör gerçekten göz hayat acayip saf ol ruh kirlet herseferinde servet yenik düş insan üzer kelime süper,positive,0
16, gerçekten güzel film son kısa ol izle film ol il smith in film başka ol,positive,0
17, hayat izle güzel film,positive,0
18, kelebek etki film basari film olmusvizyona gir ders izle git film oyun degismis devam sek genel ol ayni konu islenmis2seri tavsiye eder seyir,positive,0
19, evet azal gör ol saçmalık başka,negative,0
20, film müthiş insan sinema anlamadigini düsünüyorumtürk insan uzak hikaye yatak geçen yar röportaj ver konuş ada önem kötü yönetmen,negative,0
21, üzer müthiş film film ver 250 ye yakin film not ver film ali iste yedinci film,positive,0
22, ikinci hata üçüncü izle iste film,positive,0
23, leon izle film yorum yazildigi film izle aglamiyon harem,positive,0
24, iste film derimfilm herze anlatiyorarsivimin basiralarinda dur yapitizlemeyen mutlaka izle ara aynafb27 nick üye yorum yapilmis dem sayfa yorum sence mi,positive,0
25, sinema maalesef üzer ver film bayi son derece baba oğul tür film ikinci izle anla,positive,0
26, çağ öte klasik,positive,0
27, film kalitesizlik adi ileri git hal film yeterince kötü seri bitir ad film katlan yap,negative,0
28, gül hüzünlen filmhata duygusal ileri git zor tut yada tut oluyorgerçekten güzel seyirlik,positive,0
29, film politik film sev ideal aksiyon ara izle film ikili diyalog sek geç ülke özgür özelik özel hayat say anlam ol anlat film tavsiye et,positive,0
30, film müzik harika konu test harika gel gel dövüş sahne harika kısacası ustadajetli saygı devam dile sinema bırak usta,positive,0
31, türk sinema tarih altın harf yaz film baba oğul yönetmen türk halk iste soru film güzel cevap ver teşekkür çakan ırmak,positive,0
32, süper,positive,0
33, beklenti alt film izle birey kaybet say tüy ürper birey ol bekle nafile kısacası film izle satım,negative,0
34, arkadaş film güzel su an git film izle tavsiye et,positive,0
35, gün izle sirkat yakala baş sıra film hafta heyecan sürükleyici mutlaka izle güzel son baglamislar film,positive,0
36, is yol tuzak düşür türlü işkence maruz kal havali insan kaç kurtul çaba seyret bikmadiysaniz iskandinav usul film göz ati bak,negative,0
37, seri kitap oku film prens gasp son savaş git ol film olacakeger kitap gore yap ol kitap ayni,positive,0
38, an özelik müthiş dokunaklı son sahne insani acayip etkile film duvar yık almanca ol güzel anlatilmis kesinlikle izle gerekekiyo basari oyun caba,positive,0
39, küçük çocuk izle film uyusturucuampcinselikampsidet,negative,0
40, vala parti zamaninizin son kuru karsiligini alacaginiz filmtempo kaybolmuyorsürüklenip gidiyorsunuzsürekli taraf değiş hadi cani diyorsunuzkaçirmayin,positive,0
41, dakika ay film izle galiba his kap felaket at cop git metro doğu sahne sacmaliktir,negative,0
42, film beğen türk ev vay hal demirtürk sinema örnek film kesinlikle,positive,0
43, hayati güzel film reform,positive,0
44, baba hisetiginizde an izle firma anla iste,positive,0
45, film yeterince güzel sert yorum tabi zevk fark değişik film kesinlikle ver,positive,0
46, begenmedimizlemeye degmezmiskizlar güzel değ,negative,0
47, film karantina yap öv karantina yu karantina yap film zatenreservoir dgs la beraber baskalarinin pul fitin kötü sinema anla basit film asli basın başyapıt,positive,0
48, film güzeldifarkli konu sikmiyorsürekli hareket mevcutbence kesinlikle kaçirilmamali,positive,0
