sentiment,target
/süperrrrrrrrrrrrrrrrrrrrrrrr.,positive
"çok içten bi filmdi yaa, gerçekten çok güzeldi,giydgm nike larinda o yillarda kosu ayakkabisi oldgnu ögrendim=)tom hanks den baskasini düsünemiyorum bu filmde zaten.. . .",positive
güzel bir komedi aksiyon jason statham tam bir komediyle çikiyor karsimiza çogu sahnelerine bayildim hem güldüm hemde heyecan yasadim güzel yapmislar .,positive
bu filmmiydi yoksa ona benzer bisey mi? jason'a hiç gitmemis.. vakit kaybi.. hele sondaki düsüs sahnesi çok basit.. sokaktaki sevisme sahnesi de yersiz ve saçma olmus.. fazla söze gerek yok...,negative
harcadigim zamana acidim. gerçek anlamda gerginlik verdigi sahneleri ile gerilim severlerin hosuna gidebilir.. ama ne yazik ki son derece basit bir film.,negative
gerçekten izledigim gerçek anlamda özgür ve özgün filmlerin basinda geliyor...özelliklede verdigi mesaj açisindan biraz da düsündürücü ve hatta psikolojik bir yani bile var filmin..izlenilmesi gereken bir film .,positive
sonunda eklenmis bu film buraya. ben yeni freddyi begenmedim yha. eskisi acaip espirili bi adamdi filmi güzellestirende buydu ama yenisi biraz daha karanlik bi karaktermis gibi geldi eger öyle olursa diger slasher filmlerinden bi farki kalmaz. yine de heyecanla bekliyoruz..,negative
bazilarinin çok sevdigi benimse pek begenmedigim alejandro gonzalez inarritunun senaristi guillermo arriaga yazip yönettigi bu film kendisinin sadece yazmakla yetindigi filmlerin de gerisinde...,negative
tamamen hayal kirikligi tavsiyem resident evil i tekrar tekrar izleyin....,negative
filmi hiç begenmedim.bence vasatin altinda bir film.daha iyi olabilirdi.zaten filmin 20-30dksi bos bos geciyor..konu akici degil.. ve daha pek çok olumsuzluklar..  ancak verebilirim.,negative
üzerine kelimelerin kifayesini yitirdigi güzelligi cümleler le anlatilamayacak bir film bir film muhtesem.,positive
bu film 27 nisanda gösterime girdi.bu filmin antep'e gelmesi için dua ediyordum.ne zaman geldi biliyormusunuz ? 7 hafta sonra hemen gidip filmi seyrettim. tek kelimeyle harika.bu filmi kaçirmayin derim.filmin sonunda küçük kizin erotik biçimde striptiz yapmasi ise muhtesemdi....,positive
